prob_media_pred,frec_observada,n,mercado
0.10620744817429742,0.1703225806451613,775,over_3.5
0.15210739202302306,0.1847545219638243,774,over_3.5
0.18125471172007135,0.20155038759689922,774,over_3.5
0.20719944152711084,0.21059431524547803,774,over_3.5
0.23475707923636405,0.2467700258397933,774,over_3.5
0.26298132948559083,0.2571059431524548,774,over_3.5
0.2974203938042838,0.28036175710594313,774,over_3.5
0.34439721429118897,0.3359173126614987,774,over_3.5
0.41596598932111367,0.4043927648578811,774,over_3.5
0.6106329601384458,0.5716129032258065,775,over_3.5
0.03931944556364727,0.06451612903225806,775,over_4.5
0.06304248422497413,0.082687338501292,774,over_4.5
0.07984305071526951,0.10335917312661498,774,over_4.5
0.0958296361682227,0.08010335917312661,774,over_4.5
0.11372753994334565,0.13178294573643412,774,over_4.5
0.13306585112396402,0.10852713178294573,774,over_4.5
0.15792115479199376,0.14728682170542637,774,over_4.5
0.19418861183556319,0.1925064599483204,774,over_4.5
0.2545387639897278,0.23901808785529716,774,over_4.5
0.4539680922430455,0.41419354838709677,775,over_4.5
0.07723506605014344,0.08,775,margen_>=3
0.10324274855238945,0.09560723514211886,774,margen_>=3
0.12098212821436324,0.09689922480620156,774,margen_>=3
0.138272717222966,0.11757105943152454,774,margen_>=3
0.15836394446221433,0.15762273901808785,774,margen_>=3
0.1843254756864204,0.17183462532299743,774,margen_>=3
0.21889099020849118,0.21963824289405684,774,margen_>=3
0.271918698401801,0.2751937984496124,774,margen_>=3
0.3636013005736119,0.3785529715762274,774,margen_>=3
0.6016268156401523,0.6090322580645161,775,margen_>=3
0.1331574044543475,0.18451612903225806,775,alguno_>=3
0.18327366592692476,0.19121447028423771,774,alguno_>=3
0.2140820830944954,0.21059431524547803,774,alguno_>=3
0.24394392483549845,0.2364341085271318,774,alguno_>=3
0.27451571232171423,0.25193798449612403,774,alguno_>=3
0.3068703949343715,0.2868217054263566,774,alguno_>=3
0.3470009010131785,0.35271317829457366,774,alguno_>=3
0.4026667690774988,0.4018087855297158,774,alguno_>=3
0.4885774959967754,0.46770025839793283,774,alguno_>=3
0.6938458648707978,0.6851612903225807,775,alguno_>=3
