bin,freq_local,freq_visita
"[0.0,0.1)",0.08473262722810643,0.0922242314647378
"[0.1,0.2)",0.08822009816584862,0.1001033324722294
"[0.2,0.3)",0.09545337122190649,0.09816584861792818
"[0.3,0.4)",0.09997416688194265,0.10023249806251615
"[0.4,0.5)",0.10669077757685352,0.10178248514595711
"[0.5,0.6)",0.10178248514595711,0.10514079049341256
"[0.6,0.7)",0.10268664427796435,0.10811159907000775
"[0.7,0.8)",0.11805734952208731,0.10501162490312581
"[0.8,0.9)",0.09816584861792818,0.10049082924308964
"[0.9,1.0)",0.10423663136140532,0.08873676052699561
