tramo_elo,n_partidos,goleadas_esperadas,goleadas_observadas,ratio_esp_obs
"[0,100)",2425,332.90632289389936,275,1.2105684468869067
"[100,200)",2042,347.8618406585989,316,1.1008286096791104
"[200,300)",1456,339.4873431379228,359,0.9456471953702584
"[300,inf)",1819,712.9913061909855,755,0.9443593459483252
TOTAL,7742,1733.2468128814064,1705,1.0165670456782443
