iter	MultiClass
284	0.8842406985
285	0.8841780861
286	0.8841301576
287	0.8840926648
288	0.8840223929
289	0.8839460032
290	0.8838759662
291	0.8838218694
292	0.8837640402
293	0.8836926182
294	0.8836068697
295	0.8835265134
296	0.8834887438
297	0.8834605606
298	0.8834177791
299	0.8833781819
300	0.8832855375
301	0.8832098503
302	0.8831798165
303	0.8831348566
304	0.8830362402
305	0.8829877415
306	0.8829376263
307	0.8828715618
308	0.8828426252
309	0.8828058044
310	0.882731614
311	0.8826557028
312	0.8825655504
313	0.8824989427
314	0.882486859
315	0.8824137504
316	0.882372191
317	0.8823314698
318	0.8822729447
319	0.8822097688
320	0.8821709634
321	0.8820983962
322	0.8820477276
323	0.8819915419
324	0.8819185712
325	0.8818800725
326	0.8818182282
327	0.881761605
328	0.88170131
329	0.8816733382
330	0.8816121882
331	0.8815368446
332	0.8814861797
333	0.881434091
334	0.8813781263
335	0.8813389999
336	0.8812752508
337	0.8812435598
338	0.8811997423
339	0.8811706928
340	0.8810961742
341	0.8810296881
342	0.8809731726
343	0.8809310723
344	0.8808881397
345	0.8808277967
346	0.8807713844
347	0.8807114921
348	0.88064996
349	0.8805906908
350	0.8805215343
351	0.8804622279
352	0.8804026636
353	0.8803533863
354	0.8802922854
355	0.8802558904
356	0.880186765
357	0.8801132844
358	0.8800603797
359	0.8800088612
360	0.8799284486
361	0.8798698792
362	0.8798269117
363	0.8797512923
364	0.8797151127
365	0.8796348812
366	0.8795841289
367	0.8795041157
368	0.8794200676
369	0.8793676875
370	0.8793358449
371	0.8792643095
372	0.8792184674
373	0.8791460016
374	0.8790738417
375	0.8790369093
376	0.8790011263
377	0.8789623858
378	0.8789328976
379	0.878889942
380	0.8788517055
381	0.8787958103
382	0.8787491899
383	0.8786775125
384	0.8786419706
385	0.8785954475
386	0.8785360945
387	0.878495178
388	0.8784454299
389	0.8784041888
390	0.8783547119
391	0.8783033369
392	0.878247675
393	0.8782025721
394	0.8781375089
395	0.8780876
396	0.8780427814
397	0.8780135277
398	0.8779654607
399	0.8779044488
