tramo_elo,n_partidos,goleadas_esperadas,goleadas_observadas,ratio_esp_obs
"[0,100)",2425,322.51419425030485,275,1.1727788881829266
"[100,200)",2042,340.5195925338593,316,1.0775936472590484
"[200,300)",1456,336.3726369139554,359,0.9369711334650568
"[300,inf)",1819,718.1937366818684,755,0.9512499823600905
TOTAL,7742,1717.600160379988,1705,1.0073901233900222
