bin,freq_local,freq_visita
"[0.0,0.1)",0.08667011108240764,0.094678377680186
"[0.1,0.2)",0.09235339705502454,0.10074916042366314
"[0.2,0.3)",0.09480754327047275,0.09932833893050891
"[0.3,0.4)",0.0998450012916559,0.09958667011108241
"[0.4,0.5)",0.10630328080599329,0.1003616636528029
"[0.5,0.6)",0.1001033324722294,0.1057866184448463
"[0.6,0.7)",0.09945750452079566,0.10591578403513303
"[0.7,0.8)",0.11650736243864634,0.10307414104882459
"[0.8,0.9)",0.0968741927150607,0.10049082924308964
"[0.9,1.0)",0.10707827434771378,0.09002841642986309
