prob_media_pred,frec_observada,n,mercado
0.10396855780007812,0.1703225806451613,775,over_3.5
0.14973552331079137,0.1847545219638243,774,over_3.5
0.17900720485389368,0.2054263565891473,774,over_3.5
0.20514069892379283,0.20671834625322996,774,over_3.5
0.23299931509356797,0.2454780361757106,774,over_3.5
0.26162765058352316,0.25839793281653745,774,over_3.5
0.29669119816464123,0.28036175710594313,774,over_3.5
0.3447482956151839,0.3333333333333333,774,over_3.5
0.41852435459910386,0.4095607235142119,774,over_3.5
0.6209743347511711,0.5690322580645162,775,over_3.5
0.03740959347206293,0.06451612903225806,775,over_4.5
0.060456842325083505,0.082687338501292,774,over_4.5
0.07693780755590432,0.10335917312661498,774,over_4.5
0.09267652820983541,0.08010335917312661,774,over_4.5
0.11040279136434998,0.13178294573643412,774,over_4.5
0.12963362634007417,0.10852713178294573,774,over_4.5
0.1544974786207238,0.14728682170542637,774,over_4.5
0.19100689414378266,0.1925064599483204,774,over_4.5
0.25245503241084255,0.23901808785529716,774,over_4.5
0.4605750578293344,0.41419354838709677,775,over_4.5
0.07401991169705198,0.08,775,margen_>=3
0.09925077126975707,0.09431524547803617,774,margen_>=3
0.1166777609255205,0.09948320413436693,774,margen_>=3
0.13376445375139637,0.11498708010335917,774,margen_>=3
0.1537964591602923,0.15633074935400518,774,margen_>=3
0.17998018147632702,0.1731266149870801,774,margen_>=3
0.21518243164104958,0.22093023255813954,774,margen_>=3
0.2696488210930951,0.27648578811369506,774,margen_>=3
0.36418918951958495,0.3772609819121447,774,margen_>=3
0.6117256974644089,0.6090322580645161,775,margen_>=3
0.1296057317793271,0.18451612903225806,775,alguno_>=3
0.17948855211108908,0.18863049095607234,774,alguno_>=3
0.21039082691165906,0.21188630490956073,774,alguno_>=3
0.2405228455658762,0.24031007751937986,774,alguno_>=3
0.27157973408329195,0.25290322580645164,775,alguno_>=3
0.304657697951656,0.2846054333764554,773,alguno_>=3
0.34573099127632073,0.3462532299741602,774,alguno_>=3
0.40322667751602875,0.4069767441860465,774,alguno_>=3
0.4925372736287573,0.46511627906976744,774,alguno_>=3
0.7054604207004782,0.687741935483871,775,alguno_>=3
