tramo_elo,n_partidos,goleadas_esperadas,goleadas_observadas,ratio_esp_obs
"[0,100)",2425,282.8742894963939,275,1.0286337799868868
"[100,200)",2042,294.1775347391057,316,0.9309415656300812
"[200,300)",1456,286.2236555885715,359,0.7972803776840431
"[300,inf)",1819,620.0279161700503,755,0.8212290280398017
TOTAL,7742,1483.3033959941213,1705,0.8699726662722119
