bin,freq_local,freq_visita
"[0.0,0.1)",0.0922242314647378,0.1001033324722294
"[0.1,0.2)",0.10126582278481013,0.10475329372255231
"[0.2,0.3)",0.09377421854817876,0.10501162490312581
"[0.3,0.4)",0.10139498837509688,0.10346163781968483
"[0.4,0.5)",0.09919917334022217,0.0971325238956342
"[0.5,0.6)",0.09868251097907517,0.10204081632653061
"[0.6,0.7)",0.09015758202014983,0.09894084215964867
"[0.7,0.8)",0.10875742702144149,0.09519504004133299
"[0.8,0.9)",0.09700335830534745,0.09545337122190649
"[0.9,1.0)",0.11754068716094032,0.0979075174373547
