prob_media_pred,frec_observada,n,mercado
0.11009681251209093,0.17419354838709677,775,over_3.5
0.15225390679318235,0.18733850129198967,774,over_3.5
0.17928454732941257,0.20155038759689922,774,over_3.5
0.20308930678573361,0.22609819121447028,774,over_3.5
0.22721383847678814,0.2441860465116279,774,over_3.5
0.2531352369629055,0.25839793281653745,774,over_3.5
0.28410458770728914,0.28165374677002586,774,over_3.5
0.3250107785846529,0.31912144702842377,774,over_3.5
0.38773641665794634,0.4069767441860465,774,over_3.5
0.5757463862084359,0.5638709677419355,775,over_3.5
0.03736091468349072,0.06709677419354838,775,over_4.5
0.05745422068839817,0.08010335917312661,774,over_4.5
0.07177961952817817,0.10465116279069768,774,over_4.5
0.08518242019057327,0.09431524547803617,774,over_4.5
0.09948402778155203,0.12144702842377261,774,over_4.5
0.11561732705161391,0.11498708010335917,774,over_4.5
0.13593801833343402,0.14599483204134367,774,over_4.5
0.16444483806940635,0.18604651162790697,774,over_4.5
0.21196737410637204,0.2454780361757106,774,over_4.5
0.3927634362616348,0.4038709677419355,775,over_4.5
0.06860621384795314,0.08,775,margen_>=3
0.08891817519120139,0.08914728682170543,774,margen_>=3
0.10260548210774804,0.1111111111111111,774,margen_>=3
0.11605276517329385,0.12144702842377261,774,margen_>=3
0.13159892081421623,0.13824289405684753,774,margen_>=3
0.15219207380419708,0.17700258397932817,774,margen_>=3
0.18068763541848587,0.2248062015503876,774,margen_>=3
0.22592744905816156,0.28,775,margen_>=3
0.3053992949199665,0.35963777490297544,773,margen_>=3
0.543736182744093,0.6206451612903225,775,margen_>=3
0.13024961619970105,0.18451612903225806,775,alguno_>=3
0.1749408366894425,0.19509043927648578,774,alguno_>=3
0.20272908634775225,0.2222222222222222,774,alguno_>=3
0.228965193070101,0.20930232558139536,774,alguno_>=3
0.256336470776352,0.28165374677002586,774,alguno_>=3
0.2850729300300013,0.27906976744186046,774,alguno_>=3
0.3219857238606162,0.34108527131782945,774,alguno_>=3
0.3724782897584602,0.4005167958656331,774,alguno_>=3
0.4525190750484719,0.47416020671834624,774,alguno_>=3
0.6627468516847245,0.6812903225806451,775,alguno_>=3
