bin,freq_local,freq_visita
"[0.0,0.1)",0.09274089382588478,0.09958667011108241
"[0.1,0.2)",0.09932833893050891,0.10384913459054508
"[0.2,0.3)",0.09377421854817876,0.10113665719452337
"[0.3,0.4)",0.10023249806251615,0.09855334538878843
"[0.4,0.5)",0.10371996900025833,0.09752002066649444
"[0.5,0.6)",0.09571170240247998,0.10604494962541978
"[0.6,0.7)",0.0944200464996125,0.10074916042366314
"[0.7,0.8)",0.11250322913975717,0.10049082924308964
"[0.8,0.9)",0.09480754327047275,0.09842417979850168
"[0.9,1.0)",0.11276156032033066,0.09364505295789202
