prob_media_pred,frec_observada,n,mercado
0.0991737606133396,0.1703225806451613,775,over_3.5
0.1445402520524003,0.18604651162790697,774,over_3.5
0.17400603037077256,0.2041343669250646,774,over_3.5
0.20047596538527082,0.20801033591731266,774,over_3.5
0.22891850766537766,0.24160206718346253,774,over_3.5
0.258356833187798,0.26098191214470284,774,over_3.5
0.2947128172084944,0.28036175710594313,774,over_3.5
0.3450496171616905,0.33462532299741604,774,over_3.5
0.4236249952012872,0.4095607235142119,774,over_3.5
0.6432772334006678,0.567741935483871,775,over_3.5
0.033486677599551665,0.06572164948453608,776,over_4.5
0.0550088335463666,0.07891332470892626,773,over_4.5
0.0707267866027001,0.10723514211886305,774,over_4.5
0.08586148983865892,0.08010335917312661,774,over_4.5
0.1031002066013886,0.13049095607235142,774,over_4.5
0.1219782304434456,0.10981912144702842,774,over_4.5
0.14671161060270074,0.1434108527131783,774,over_4.5
0.1834951332029715,0.19638242894056848,774,over_4.5
0.24694278778135517,0.23772609819121446,774,over_4.5
0.474407321860543,0.41419354838709677,775,over_4.5
0.06732398530601151,0.07741935483870968,775,margen_>=3
0.09081602444888291,0.09819121447028424,774,margen_>=3
0.10748928777243441,0.10465116279069768,774,margen_>=3
0.12409573926590298,0.11369509043927649,774,margen_>=3
0.1438457890416248,0.14728682170542637,774,margen_>=3
0.17047721384951373,0.17806451612903226,775,margen_>=3
0.20692634010075867,0.21345407503234154,773,margen_>=3
0.26432712148712134,0.28165374677002586,774,margen_>=3
0.36501211794747435,0.3772609819121447,774,margen_>=3
0.6334602974406576,0.6103225806451613,775,margen_>=3
0.12196016882390438,0.18193548387096775,775,alguno_>=3
0.17114982807368279,0.18863049095607234,774,alguno_>=3
0.20218267127635997,0.2157622739018088,774,alguno_>=3
0.23281053164032267,0.23385012919896642,774,alguno_>=3
0.2647821231742064,0.2558139534883721,774,alguno_>=3
0.2993829773344791,0.2868217054263566,774,alguno_>=3
0.3425376245328248,0.3423772609819121,774,alguno_>=3
0.40417498895089893,0.4082687338501292,774,alguno_>=3
0.5011251482370114,0.4689922480620155,774,alguno_>=3
0.730622028138367,0.6864516129032258,775,alguno_>=3
