anio,date,home_team,away_team,goles_local,goles_visita,abs_elo_diff,cdf_prev_local,pmf_local,cdf_prev_visita,pmf_visita,prob_local,prob_empate,prob_visita,pred_over_3.5,obs_over_3.5,pred_over_4.5,obs_over_4.5,pred_margen_>=3,obs_margen_>=3,pred_alguno_>=3,obs_alguno_>=3
2018,2018-01-02,Iraq,United Arab Emirates,0,0,17.763632901276424,0.0,0.400713677169419,0.0,0.36421645575834455,0.31071687473136544,0.32747257318849615,0.3618105520801385,0.13728545125295802,0,0.051137429944283726,0,0.07627962965461033,0,0.15174366169170694,0
2018,2018-01-02,Oman,Bahrain,1,0,67.49586027018631,0.4129924873955727,0.3602632668729038,0.0,0.46817406057170696,0.35621388866706466,0.3588982074923444,0.28488790384059126,0.09036677864628834,0,0.029186875021789405,0,0.05775447994930308,0,0.10662444460959877,0
2018,2018-01-05,Oman,United Arab Emirates,0,0,44.421869023264435,0.0,0.44455461515347,0.0,0.3246373984860862,0.25595735305534606,0.32106140143766354,0.4229812455069902,0.1395065960978749,0,0.05228936685844431,0,0.08355220538334236,0,0.1584919005012741,0
2018,2018-01-07,Estonia,Sweden,1,1,236.47102033183774,0.6197526339754289,0.29425827584776326,0.17095433867985535,0.2939734743657956,0.08887904898215807,0.2237677911134698,0.6873531599043721,0.20311755713376026,0,0.08780082857574108,0,0.21032508430201022,0,0.2845457044129116,0
2018,2018-01-11,Denmark,Sweden,0,1,16.417878023721414,0.0,0.3549292223613102,0.3288732192056507,0.35942636486908247,0.327042896827254,0.30688576083134955,0.36607134234139665,0.1801362180818243,0,0.07394510326391752,0,0.09176461060697674,0,0.19191706567981023,0
2018,2018-01-11,Indonesia,Iceland,0,6,452.1538797856474,0.0,0.5382597366823688,0.9443079774540065,0.03437750056373119,0.06718568988240049,0.1479192262702891,0.7848950838473104,0.4018840149315932,1,0.22853298197623817,1,0.3627931827798444,1,0.4905236717327694,1
2018,2018-01-11,Jordan,Finland,1,2,28.38023426175141,0.47884395636393884,0.34859327861691497,0.7681725698941926,0.16478204331826204,0.2743265580887029,0.3592832645568701,0.36639017735442714,0.0890577104157979,0,0.02862785078400395,0,0.057936381328384,0,0.10591527339104177,0
2018,2018-01-14,Indonesia,Iceland,1,4,462.0462297989079,0.5382597366823688,0.330138311991831,0.7325782490225656,0.13742442292983675,0.06718568988240049,0.1479192262702891,0.7848950838473104,0.4018840149315932,1,0.22853298197623817,1,0.3627931827798444,1,0.4905236717327694,1
2018,2018-01-27,Moldova,South Korea,0,1,446.10983038161226,0.0,0.6022513961272807,0.21124525566866154,0.32074979988737456,0.11287025799731955,0.2578647672252495,0.629264974777431,0.16525055549200593,0,0.06614322832273677,0,0.1618553613894256,0,0.2295983722146174,0
2018,2018-01-28,United States,Bosnia and Herzegovina,0,0,68.89859537560687,0.0,0.16804594817674595,0.0,0.27709047851375695,0.48957624099161506,0.2387935033813437,0.2716302556270413,0.38404260866651574,0,0.21283472673925233,0,0.17276649512798464,0,0.3862340503032266,0
