tramo_elo,n_partidos,goleadas_esperadas,goleadas_observadas,ratio_esp_obs
"[0,100)",2425,300.29344180360494,275,1.0919761520131088
"[100,200)",2042,324.5885201426957,316,1.0271788612110624
"[200,300)",1456,329.3269222371328,359,0.9173451872900635
"[300,inf)",1819,728.9564624681979,755,0.9655052483022488
TOTAL,7742,1683.1653466516314,1705,0.9871937517018365
