tramo_elo,n_partidos,goleadas_esperadas,goleadas_observadas,ratio_esp_obs
"[0,100)",2425,288.41642082333414,275,1.048786984812124
"[100,200)",2042,315.934540745191,316,0.9997928504594652
"[200,300)",1456,325.33836141484113,359,0.9062349900134851
"[300,inf)",1819,734.5502211792003,755,0.9729142002373514
TOTAL,7742,1664.2395441625665,1705,0.9760935742888953
