bin,freq_local,freq_visita
"[0.0,0.1)",0.0971325238956342,0.1025574786876776
"[0.1,0.2)",0.10113665719452337,0.10436579695169207
"[0.2,0.3)",0.09209506587445104,0.10152415396538363
"[0.3,0.4)",0.10087832601394989,0.09919917334022217
"[0.4,0.5)",0.10346163781968483,0.09661586153448722
"[0.5,0.6)",0.09209506587445104,0.10436579695169207
"[0.6,0.7)",0.09351588736760527,0.09958667011108241
"[0.7,0.8)",0.11056574528545596,0.09829501420821493
"[0.8,0.9)",0.09351588736760527,0.09752002066649444
"[0.9,1.0)",0.1156032033066391,0.09597003358305348
