prob_media_pred,frec_observada,n,mercado
0.09660550706789234,0.17161290322580644,775,over_3.5
0.14168964959984617,0.18604651162790697,774,over_3.5
0.17122326367104082,0.20284237726098192,774,over_3.5
0.1978293026991602,0.20930232558139536,774,over_3.5
0.22655536475367283,0.24031007751937986,774,over_3.5
0.25639342363097656,0.26098191214470284,774,over_3.5
0.29341786061963787,0.28036175710594313,774,over_3.5
0.3449617889814879,0.33462532299741604,774,over_3.5
0.4261722791369582,0.4082687338501292,774,over_3.5
0.6553670976850147,0.5690322580645162,775,over_3.5
0.03144187137528388,0.06580645161290323,775,over_4.5
0.05212091390178199,0.07881136950904392,774,over_4.5
0.06741212115378693,0.10594315245478036,774,over_4.5
0.08217020056260489,0.08139534883720931,774,over_4.5
0.09909389307278725,0.12790697674418605,774,over_4.5
0.11771407565296814,0.11498708010335917,774,over_4.5
0.14228272921043725,0.14082687338501293,774,over_4.5
0.17907026909146864,0.1937984496124031,774,over_4.5
0.24337234363685972,0.24031007751937986,774,over_4.5
0.4816255283425009,0.41419354838709677,775,over_4.5
0.06384259301682613,0.07870967741935483,775,margen_>=3
0.08637039440129403,0.09560723514211886,774,margen_>=3
0.10258954587376075,0.10594315245478036,774,margen_>=3
0.11889884158932734,0.1124031007751938,774,margen_>=3
0.13844746701521995,0.14728682170542637,774,margen_>=3
0.16520082728306673,0.17700258397932817,774,margen_>=3
0.2022771431782603,0.21963824289405684,774,margen_>=3
0.2611933530144639,0.2751937984496124,774,margen_>=3
0.3652491633433312,0.3798449612403101,774,margen_>=3
0.6451948917983404,0.6103225806451613,775,margen_>=3
0.11783913077446012,0.18193548387096775,775,alguno_>=3
0.16656055683092458,0.19121447028423771,774,alguno_>=3
0.19760096488296464,0.21059431524547803,774,alguno_>=3
0.22846135716635113,0.23772609819121446,774,alguno_>=3
0.26088722538855735,0.2558139534883721,774,alguno_>=3
0.29629195664784735,0.2868217054263566,774,alguno_>=3
0.3406051972800157,0.34108527131782945,774,alguno_>=3
0.40453041421807506,0.4005167958656331,774,alguno_>=3
0.5058746312938946,0.4754521963824289,774,alguno_>=3
0.7443192410035717,0.687741935483871,775,alguno_>=3
