anio,date,home_team,away_team,goles_local,goles_visita,abs_elo_diff,cdf_prev_local,pmf_local,cdf_prev_visita,pmf_visita,prob_local,prob_empate,prob_visita,pred_over_3.5,obs_over_3.5,pred_over_4.5,obs_over_4.5,pred_margen_>=3,obs_margen_>=3,pred_alguno_>=3,obs_alguno_>=3
2018,2018-01-02,Iraq,United Arab Emirates,0,0,17.763632901276424,0.0,0.39542942303410844,0.0,0.3584094862570781,0.30995952768070945,0.32812593155738773,0.3619145407619028,0.13464857510793657,0,0.048586289644565385,0,0.072170421511091,0,0.14692008910871937,0
2018,2018-01-02,Oman,Bahrain,1,0,67.49586027018631,0.40795784906377414,0.36577150896929844,0.0,0.4639119118490568,0.3566706062375434,0.3590429465448654,0.2842864472175912,0.08797377478375437,0,0.027421087881429797,0,0.05457561188082291,0,0.10256261634202664,0
2018,2018-01-05,Oman,United Arab Emirates,0,0,44.421869023264435,0.0,0.43989443866981937,0.0,0.3182722803929858,0.2543981650824888,0.3213836050129676,0.4242182299045435,0.13680620205927022,0,0.04964349977477309,0,0.07943286035287049,0,0.153804653125974,0
2018,2018-01-07,Estonia,Sweden,1,1,236.47102033183774,0.6173382163344332,0.2977658303884891,0.16292337065077309,0.29562098167055073,0.08606886128022984,0.22012834865774206,0.693802790062028,0.2000034220431639,0,0.0833759610879802,0,0.20720207681004632,0,0.2827653954669179,0
2018,2018-01-11,Denmark,Sweden,0,1,16.417878023721414,0.0,0.3489364939963092,0.32251205290145013,0.36495941380251407,0.326165773053173,0.3079188508234851,0.36591537612334196,0.1776044065074844,0,0.07082843774699804,0,0.08688752829380059,0,0.18673733784673202,0
2018,2018-01-11,Indonesia,Iceland,0,6,452.1538797856474,0.0,0.5348483294991637,0.9508780012749113,0.031964977016094354,0.06323909304327888,0.14327733671185988,0.793483570244861,0.40366755272373345,1,0.2243330927614451,1,0.36313756727557767,1,0.4954273104485662,1
2018,2018-01-11,Jordan,Finland,1,2,28.38023426175141,0.47473018388968835,0.3536781032663577,0.7685852927306759,0.1667937257055267,0.27360540090521646,0.3593674901248518,0.36702710896993157,0.08666911275170332,0,0.026879601409671064,0,0.05478107275188222,0,0.10189123904215314,0
2018,2018-01-14,Indonesia,Iceland,1,4,462.0462297989079,0.5348483294991637,0.33469314555050067,0.7355695162051406,0.14160781557388238,0.06323909304327888,0.14327733671185988,0.793483570244861,0.40366755272373345,1,0.2243330927614451,1,0.36313756727557767,1,0.4954273104485662,1
2018,2018-01-27,Moldova,South Korea,0,1,446.10983038161226,0.0,0.5996450361727084,0.2035151748767426,0.3239993504454993,0.11023644895897401,0.25515676892961786,0.6346067821114079,0.16200570248392637,0,0.06246639720226004,0,0.1581828406832091,0,0.2265713669682195,0
2018,2018-01-28,United States,Bosnia and Herzegovina,0,0,68.89859537560687,0.0,0.1598314761868321,0.0,0.2699009023541805,0.49147501174051395,0.24038330505645944,0.26814168320302656,0.38484402209571145,0,0.2093668590375249,0,0.16521431110393042,0,0.3831237686605057,0
