bin,freq_local,freq_visita
"[0.0,0.1)",0.08214931542237149,0.09054507879101008
"[0.1,0.2)",0.08667011108240764,0.09764918625678119
"[0.2,0.3)",0.09416171531903901,0.09739085507620769
"[0.3,0.4)",0.09777835184706794,0.10204081632653061
"[0.4,0.5)",0.1082407646602945,0.10139498837509688
"[0.5,0.6)",0.10475329372255231,0.10643244639628004
"[0.6,0.7)",0.10501162490312581,0.10979075174373547
"[0.7,0.8)",0.11986566778610178,0.10656161198656677
"[0.8,0.9)",0.1001033324722294,0.10152415396538363
"[0.9,1.0)",0.10126582278481013,0.08667011108240764
