bin,freq_local,freq_visita
"[0.0,0.1)",0.08951175406871609,0.09777835184706794
"[0.1,0.2)",0.09519504004133299,0.10178248514595711
"[0.2,0.3)",0.0949367088607595,0.09945750452079566
"[0.3,0.4)",0.09997416688194265,0.09958667011108241
"[0.4,0.5)",0.10604494962541978,0.09907000774993542
"[0.5,0.6)",0.0968741927150607,0.10656161198656677
"[0.6,0.7)",0.09739085507620769,0.10294497545853784
"[0.7,0.8)",0.11444071299405838,0.10178248514595711
"[0.8,0.9)",0.09532420563161974,0.09932833893050891
"[0.9,1.0)",0.11030741410488246,0.0917075691035908
