tramo_elo,n_partidos,goleadas_esperadas,goleadas_observadas,ratio_esp_obs
"[0,100)",2425,311.6510306123985,275,1.1332764749541762
"[100,200)",2042,332.771869662164,316,1.0530755369055824
"[200,300)",1456,332.99460179549146,359,0.9275615648899483
"[300,inf)",1819,723.510958566131,755,0.9582926603524914
TOTAL,7742,1700.9284606361848,1705,0.9976120003731289
